Title,Company,Skills
Senior Associates  Credit Analysis in Corporate Banking,Acuity Knowledge Partners,"accounting, cima, ca, financial statements"
SAP Consultant PP/QM for Sri Lanka,ITFORTE STAFFING SERVICES PRIVATE LTD,"bom, industry, pp module, sap production planning, capacity planning, sop, manufacturing, implementation, documentation, planning, process knowledge, sap pp, production planning"
Internship Programme  Investment Research,Moody's Analytics Knowledge Services,"cima, accounting, finance, ca, cfa"
Senior Associates-Fixed Income and Credit Research,Acuity Knowledge Partners,"reports, accounting, cima, finance, financial statements"
Front End Software Developer,H2O.ai,"c, orchestration, docker, security, git, devops, linux, python, cloud services, c, ubuntu, machine learning, windows, groovy, unix/linux"
Cloud DevOps Engineer,H2O.ai,"c, orchestration, docker, security, git, devops, linux, python, cloud services, c, ubuntu, machine learning, groovy, unix/linux"
Senior FullStack Software Development Engineer,H2O.ai,"test automation, test management, cucumber, test cases, jmeter, healthcare, java, selenium, linux, jenkins, appium, testing, database testing, metrics, agile"
"Associate, GEP",ROOM TO READ INDIA TRUST,"program implementation, attendance"
APAC Commercial Manager,ORACLE,"Software-as-a-Service, SaaS, applications is desirable"
Manager - Facilities (Account Management),JLL,"reports, comparative analysis, closing, audit, mis, legal, management reports, invoice management, invoicing, finance"
